name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre,genre_val
Long Road,241760,False,46,Funki Porcini,Hed Phone Sex,0.69,0.513,5,-12.529,True,0.0975,0.302,0.536,0.281,0.635,142.221,4.0,567.0,141.0,1.2793053545586106,j-dance,14
"Daniâl My Son, Where Did You Vanish?",444000,False,0,Siavash Amini,A Trail of Laughters,0.069,0.196,1,-24.801,False,0.0805,0.283,0.934,0.36,0.0336,75.596,4.0,617.0,155.0,2.36741214057508,iranian,13
Ondskapens Galakse,333506,False,3,Kvelertak,Nattesferd,0.363,0.854,2,-7.445,True,0.0397,8.93e-05,0.8,0.262,0.489,116.628,4.0,652.0,162.0,3.70048309178744,black-metal,2
Can't Look Away,269800,False,23,The Wood Brothers,One Drop of Truth,0.523,0.585,5,-5.607,True,0.0765,0.0664,0.00127,0.117,0.385,140.88,4.0,619.0,155.0,1.2793053545586106,bluegrass,3
Thunderground,307651,False,25,The Darkraver;DJ Vince,Happy Hardcore Top 100,0.643,0.687,7,-11.34,True,0.0539,0.000576,0.0969,0.299,0.637,143.956,4.0,733.0,183.0,4.067085953878407,happy,9
Sick Bubblegum,224266,True,32,Rob Zombie,Hellbilly Deluxe 2 (Standard Explicit),0.642,0.972,5,-3.047,True,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,4.0,432.0,106.0,1.2793053545586106,industrial,12
The Diamond Four,225160,False,27,Momoiro Clover Z,MOMOIRO CLOVER Z,0.777,0.949,2,-2.488,True,0.0585,0.306,1.63e-05,0.299,0.85,109.992,4.0,411.0,103.0,3.70048309178744,j-idol,15
Quiero tener tu presencia,220626,False,64,Seguridad Social,Furia Latina,0.741,0.816,4,-5.597,True,0.0797,0.0211,0.0,0.0981,0.574,146.075,4.0,517.0,129.0,0.916010498687664,spanish,18
Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),116815,False,45,Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),0.153,0.119,6,-25.16,True,0.0501,0.704,0.913,0.543,0.0342,84.886,4.0,162.0,40.0,1.1709531013615733,sleep,17
Into The Pentagram,405800,False,21,Samael,Worship Him,0.311,0.729,4,-7.047,True,0.0346,0.000116,0.222,0.225,0.119,141.326,4.0,882.0,221.0,0.916010498687664,black-metal,2
